id,name,length_seconds,genre_id,link
132,Lirkod Im Dmaot,206,5,https://www.youtube.com/watch?v=jTX6mWrXvNE
133,"Further Up (Na, Na, Na, Na, Na) (Official Video)",157,3,https://www.youtube.com/watch?v=K3BQmbeXPok
134,Malkat Hashoshanim,190,5,https://www.youtube.com/watch?v=nwpLIXdrHS0
135,Corazón (Audio) ft. Nego do Borel,185,1,https://www.youtube.com/watch?v=btbmtFH0eEg
136,Ella me Copia,247,1,https://www.youtube.com/watch?v=WZGuJ99S7Nw
137,Matay,163,5,https://www.youtube.com/watch?v=nJ3_3AZnRWA
138,Don't Start Now (Lyrics),203,3,https://www.youtube.com/watch?v=8CLkVWB_Lj8
139,Wake Me Up Before You Go-Go (Official Video),233,3,https://www.youtube.com/watch?v=pIgZ7gMze7A
140,The Greatest,351,3,https://www.youtube.com/watch?v=GKSRyLdjsPA
141,Dance With Me Tonight (Official Video),206,3,https://www.youtube.com/watch?v=F3EG4olrFjY
142,Policeman ( feat. Konshens ),193,3,https://www.youtube.com/watch?v=QLRWXD96_yU
143,Run The World (Girls) [Lyrics] HD,236,3,https://www.youtube.com/watch?v=N8t078YDojM
144,Carimbó do Macaco,177,6,https://www.youtube.com/watch?v=EcPn7H9F_4E
145,Get Ugly,200,3,https://www.youtube.com/watch?v=PlAZzz4Tvsc
146,Live It Up ft.Pitbull (Lyrics) HD,245,3,https://www.youtube.com/watch?v=gtiaD2r3Eds
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
id,name,,id,name
1,J Balvin,,1,Latin
2,Daddy Yankee,,2,French
3,BETTA LEMME,,3,Pop & Others
4,Backstreet Boys,,4,Movies
5,Meghan Trainor,,5,Israeli
6,Justin Timberlake,,6,Unknown
7,Luis Fonsi,,7,Classics
8,Bruno Mars,,,
9,Carlos Vives,,,
10,Ariana Grande,,,
11,Rotem Cohen,,,
12,DJ Snake,,,
13,Ricky Martin,,,
14,Katy Perry,,,
15,Ed Sheeran,,,
16,Jennifer Lopez,,,
17,Jason Derulo,,,
18,Sia,,,
19,Enrique Iglesias,,,
20,Daft Punk,,,
21,The Killers,,,
22,The Pussycat Dolls,,,
23,Michael Sembello,,,
24,Pitbull,,,
25,Shakira,,,
26,Christina Aguilera,,,
27,Netta barzilai,,,
28,Ava Max,,,
29,Jax Jones,,,
30,Clean Bandit,,,
31,Alvaro Soler,,,
32,Robin Thicke,,,
33,Taylor Swift,,,
34,P!nk,,,
35,Luan Santana,,,
36,Taron Egerton,,,
37,Michael Bublé,,,
38,a-ha,,,
39,Mergui,,,
40,Mergui,,,
41,John Ryan,,,
42,Mahmood,,,
43,Beyonce,,,
44,Gente de Zona,,,
45,Willy William,,,
46,Stefflon Don,,,
47,Cardi B,,,
48,Sebastian Yatra,,,
49,Joca perpignan,,,
50,Mark Ronson,,,
51,Selena Gomez,,,
52,Ozuna,,,
53,Nicki Minaj,,,
54,Wisin,,,
55,Descemer Bueno,,,
56,Zion,,,
57,Pharrel Williams,,,
58,Justin Bieber,,,
59,Maluma,,,
60,Bad Bunny,,,
61,Demi Lovato,,,
62,Sean Paul,,,
63,Anne-Marie,,,
64,Carolina B,,,
65,Deorro,,,
66,Elvis Crespo,,,
67,T-Pain,,,
68,Nassi parole,,,
69,Michael Franti,,,
70,Spearhead,,,
71,priscila Sartori,,,
72,Calvin Harris,,,
73,Rihanna,,,
74,Grupo Treo,,,
75,Lizzo,,,
76,Stevie Wonder,,,
77,Charlie Puth,,,
78,Dyland&Lenny,,,
79,Barry Manilow,,,
80,Tony Ray,,,
81,Gianna,,,
82,El Arroyito,,,
83,Dua Lipa,,,
84,Shawn Mendes,,,
85,Camila Cabello,,,
86,Nicky Jam,,,
87,Arisa,,,
88,Margalit Zanani,,,
89,Jim Carrey,,,
90,Luca Hänni,,,
91,417DanceFitness,,,
92,John Travolta,,,
93,Astor Piazzolla,,,
94,Marina,,,
95,Jonas Blue,,,
96,MAX,,,
97,Master KG,,,
98,Aretha Franklin,,,
99,Black Eyed Peas,,,
100,Ozuna,,,
101,J. Rey Soul ,,,
102,Gloria Estefan,,,
103,Patrizio Buanne,,,
104,Madonna,,,
105,ALABINA,,,
106,ISHTAR,,,
107,LOS NIñOS DE SARA,,,
108,Gloria Gaynor,,,
109,Tainy,,,
110,Anitta,,,
111,Michael Jackson,,,
112,The Pointer Sisters,,,
113,Omer Adam,,,
114,Moshe Peretz,,,
115,Juicy J,,,
116,Lady Gaga,,,
117,Ke$ha,,,
118,Becky G,,,
119,LMFAO,,,
120,Tini & Greeicy,,,
121,GIMS,,,
122,Sting,,,
123,MEDUZA,,,
124,Becky Hill,,,
125,Goodboys,,,
126,Ty Dolla $ign,,,
127,Noa Kirel,,,
128,Ivri Lider,,,
129,Static & Ben El,,,
130,Eden Ben Zaken,,,
131,Nego do Borel,,,
132,Unknown,,,
133,Wham!,,,
134,Olly Murs,,,
135,Eva Simons,,,
136,Pinduca,,,
,,,,
,,,,
,,,,
song_id,performer_id,,,
1,1,,,
1,45,,,
2,2,,,
3,3,,,
4,4,,,
5,4,,,
6,4,,,
7,5,,,
8,5,,,
9,5,,,
10,5,,,
11,6,,,
12,5,,,
13,46,,,
13,7,,,
14,8,,,
14,47,,,
15,8,,,
16,8,,,
17,8,,,
17,50,,,
18,9,,,
18,48,,,
19,10,,,
20,11,,,
20,49,,,
21,8,,,
22,12,,,
22,51,,,
22,47,,,
22,52,,,
23,13,,,
24,14,,,
24,53,,,
25,15,,,
26,16,,,
26,54,,,
26,13,,,
27,17,,,
28,18,,,
29,19,,,
29,35,,,
30,20,,,
30,57,,,
31,21,,,
32,22,,,
33,23,,,
34,24,,,
34,41,,,
35,25,,,
35,59,,,
36,13,,,
36,59,,,
37,13,,,
38,26,,,
39,19,,,
39,55,,,
39,56,,,
40,19,,,
40,54,,,
41,19,,,
41,60,,,
42,27,,,
43,27,,,
44,28,,,
45,29,,,
45,61,,,
45,46,,,
46,30,,,
46,62,,,
46,63,,,
47,31,,,
48,32,,,
48,57,,,
49,33,,,
50,8,,,
51,34,,,
52,12,,,
52,58,,,
53,36,,,
54,37,,,
55,38,,,
56,30,,,
56,61,,,
57,39,,,
58,40,,,
59,25,,,
60,19,,,
60,24,,,
60,64,,,
61,31,,,
62,15,,,
62,58,,,
63,42,,,
64,43,,,
65,44,,,
66,2,,,
67,24,,,
67,26,,,
68,65,,,
68,66,,,
69,24,,,
69,62,,,
69,67,,,
70,68,,,
71,69,,,
71,70,,,
72,71,,,
73,72,,,
73,73,,,
74,74,,,
75,5,,,
76,75,,,
77,76,,,
77,10,,,
78,77,,,
78,51,,,
79,78,,,
80,79,,,
81,11,,,
82,80,,,
82,81,,,
83,82,,,
84,72,,,
84,83,,,
85,84,,,
85,85,,,
86,83,,,
87,42,,,
88,59,,,
89,7,,,
89,48,,,
89,86,,,
90,16,,,
90,24,,,
91,87,,,
91,88,,,
92,89,,,
93,90,,,
94,17,,,
95,91,,,
96,92,,,
97,59,,,
98,54,,,
99,93,,,
100,28,,,
101,30,,,
101,7,,,
101,94,,,
102,95,,,
102,96,,,
103,97,,,
104,98,,,
105,39,,,
106,99,,,
106,100,,,
106,101,,,
107,102,,,
108,103,,,
109,104,,,
110,105,,,
110,106,,,
110,107,,,
111,108,,,
112,12,,,
112,109,,,
112,62,,,
112,110,,,
113,111,,,
114,7,,,
114,61,,,
115,112,,,
116,113,,,
116,114,,,
117,111,,,
117,6,,,
118,58,,,
119,14,,,
119,115,,,
120,116,,,
120,10,,,
121,117,,,
121,24,,,
122,60,,,
122,118,,,
123,24,,,
123,44,,,
124,7,,,
124,2,,,
125,83,,,
126,119,,,
127,120,,,
128,121,,,
128,122,,,
129,123,,,
129,124,,,
129,125,,,
130,17,,,
130,53,,,
130,126,,,
131,127,,,
132,128,,,
133,24,,,
133,129,,,
134,130,,,
135,59,,,
135,131,,,
136,132,,,
137,114,,,
138,83,,,
139,133,,,
140,18,,,
141,134,,,
142,135,,,
143,43,,,
144,136,,,
145,17,,,
146,24,,,
146,16,,,
